#,Projeto,Interesse,Dominios,Prioridade,Estado,Cronologia,NasceuDe,Relevancia,Origem,Stack,Plataformas,Git,Remoto,Caminho,Tags,Notas,NotasFonte
1,CTE-TEMPLATE-CLAUDE,sim,,3,ideia,,,AI-PROJ,Claude Code,Docs+Python,CP CW disk,nao,,JSJ AI\CTE\CTE-TEMPLATE-CLAUDE,,,Canónico CTE; sub-repo app-docs; cluster CTE ×5. Move: caution.
2,JSJ-DOC-ENGINE,sim,,3,ideia,,DocxTemplate,AI-PROJ,Claude Code,Python,CW CC disk,sim,dmmgama/JSJ-DOC-ENGINE,JSJ AI\JSJ-DOC-ENGINE,,,Pipeline Markdown→DOCX; cluster docx. Move: caution.
3,JSJ-GestaoDesenhos-LSP,sim,,3,ativo,2025-12,,JSJ-ENG,Claude Code,LISP-CAD+Python,CP disk,sim,dmmgama/JSJ-GESTAODESENHOS-LSP,JSJ AI\JSJ-GestaoDesenhos-LSP,,,Histórico (V43); ⚠ versão ativa = 820-PC (#44). Move: safe.
4,mqt-system,sim,,3,ideia,,,AI-PROJ,Claude Code,Python/Streamlit,CP CC disk,sim,dmmgama/mqt-system,JSJ AI\JSJ-MQT_AI\mqt-system,,,Streamlit + Supabase. Move: caution.
5,DocxTemplate,sim,,3,ideia,,,AI-TOOL,Claude Code,Docs,CW CP disk,nao,,JSJ AI\DocxTemplate,,,Produz reference.docx p/ DOC-ENGINE. Move: caution.
6,wiki-ai,sim,,3,ideia,,,AI-KNOW,Claude Code,Docs,CW disk,nao,,JSJ AI\wiki-ai,,,"Wiki AI (Karpathy, flat); cluster wiki. Move: caution."
7,JSJ-ListaDesenhos,sim,,3,ideia,2025-12,,JSJ-ENG,Dev/IDE,Python,CC disk,sim,dmmgama/JSJ-ListaDesenhos,JSJ AI\JSJ-ListaDesenhos,,,Cluster gestor; 2 clones em ~\ → Duplicados. Move: safe.
8,projeto-ssot,sim,,3,ideia,,FichaProjetosJSJ,AI-PROJ,Dev/IDE,Python,CP disk,sim,dmmgama/projeto-ssot,JSJ AI\projeto-ssot,,,SSOT unificado (5CP+31CP); v11.1. Move: caution.
9,FichaProjetosJSJ,sim,,3,ideia,,,JSJ-ENG,Dev/IDE,Docs,CC disk,sim,dmmgama/FichaProjetosJSJ,JSJ AI\FichaProjetosJSJ,,,Template-edifício v9 (predecessor do ssot). Move: safe.
10,outlook-contacts,sim,,3,ideia,2026-05,,AI-TOOL,Dev/IDE,Python,CC disk,sim,dmmgama/outlook-contacts,JSJ AI\outlook-contacts,,,Integração Outlook (↔ Notion Auto?). Move: caution.
11,JSJ-Memorias,sim,,3,ideia,2025-12,,JSJ-ENG,—,Docs,disk,nao,,JSJ AI\JSJ-Memorias,,,Corpus memórias descritivas. Move: safe.
12,JSJ-CAD-Vigas,sim,,3,ideia,,,JSJ-ENG,—,LISP-CAD,disk,nao,,JSJ AI\JSJ-CAD-Vigas,,,"AutoLISP ""Super Varão"". Move: safe."
13,pilARES,sim,,3,ideia,,,JSJ-ENG,—,LISP-CAD,CP disk,nao,,JSJ AI\pilARES,,,AutoLISP (cmd QPILAR). Move: safe.
14,VIGAS WORK FILES,sim,,3,ideia,,,JSJ-ENG,—,LISP-CAD,disk,nao,,JSJ AI\VIGAS WORK FILES,,,Work files de JSJ-CAD-Vigas. Move: safe.
15,template_final,sim,,3,ideia,,,AI-TOOL,—,Docs,disk,nao,,JSJ AI\template_final,,,Outputs DOCX do CTE (par DocxTemplate). Move: safe.
